specimen_ID,subsample_ID,wet_weight_mg,dmso_sample,dmso_diluent,dmso_ug_mL,milliq_ug_mL,ace_met_mil_sample,ace_met_mil_diluent,ace_met_mil_chlA,dmso_dilution,ace_met_mil_dilution,chlA_mg,total_chlA,notes
20230627-MOHK-018,20230627-MOHK-018-D,11,10,990,41.46,1.3,100,900,34.47,100,10,6181.281818181818,7748.1,
20230627-MOHK-018,20230627-MOHK-018-F,6,10,990,28.4,0,100,900,11.96,100,10,8391.666666666666,8890,no MilliQ reading
20230627-MOHK-018,20230627-MOHK-018-G,8,10,990,27.14,0,100,900,16.78,100,10,5784.875,6519,no MilliQ reading
20230627-MOHK-019,20230627-MOHK-019-B,18,10,990,38.07,3.37,100,900,32.46,100,10,5524.906666666667,7057.74,
20230627-MOHK-019,20230627-MOHK-019-D,16,10,990,34,2,100,900,39.56,100,10,7741.625,9596,
20230627-MOHK-020,20230627-MOHK-020-B,14,10,990,29.55,0.5,1000,0,4.18,100,1,6802.492857142857,6821.9,
20230627-MOHK-020,20230627-MOHK-020-D,46,10,990,55.5,1.3,1000,0,55.47,100,1,5918.629347826088,6189.950000000001,
20230627-MOHK-021,20230627-MOHK-021-B,31,10,990,89.8,9.2,100,900,87.61,100,10,11259.706451612903,15498.9,
20230627-MOHK-021,20230627-MOHK-021-D,9,10,990,26.56,2.7,100,900,52.49,100,10,18257.01111111111,20589.9,
20230627-MOHK-022,20230627-MOHK-022-B,15,10,990,17.36,8.3,100,900,157.92,100,10,5855,13224.599999999999,
20230627-MOHK-022,20230627-MOHK-022-D,5,100,900,100.81,0.8,100,900,57.19,10,10,920.7,3208.3,
20230627-MOHK-023,20230627-MOHK-023-B,8,100,900,36.14,0.45,100,900,35.01,10,10,2235.9125,3767.6,
20230627-MOHK-023,20230627-MOHK-023-D,14,100,900,69.91,1.4,100,900,73.38,10,10,987.6714285714285,4394.6,
20230627-MOHK-024,20230627-MOHK-024-A,9,100,900,41.4,0.2,1000,0,1.27,10,1,1399.3055555555554,1404.9499999999998,
20230711-NAPL-001,20230711-NAPL-001-B,41,100,900,50.92,0.31,100,900,53.21,10,10,893.510243902439,3489.12,
20230711-NAPL-001,20230711-NAPL-001-D,45,100,900,49.2,0.75,100,900,40.62,10,10,1065.0333333333335,3050.9,
20230711-NAPL-002,20230711-NAPL-002-B,26,100,900,31.54,0.53,100,900,22.47,10,10,1028.2715384615385,2108.56,
20230711-NAPL-002,20230711-NAPL-002-D,27,100,900,39.3,0.24,100,900,37.47,10,10,700.6688888888889,2504.7799999999997,
20230711-NAPL-003,20230711-NAPL-003-B,37,100,900,40.48,0.79,100,900,34.3,10,10,833.9313513513514,2502.58,
20230711-NAPL-003,20230711-NAPL-003-D,27,100,900,26.62,0.26,100,900,36.83,10,10,878.3237037037036,2651.62,
20230711-NAPL-004,20230711-NAPL-004-B,25,100,900,33.56,1.53,100,900,26.44,10,10,588.3399999999999,1857.46,
20230711-NAPL-004,20230711-NAPL-004-D,29,100,900,40.84,0.33,100,900,39.45,10,10,739.8772413793104,2644.36,
20230711-NAPL-005,20230711-NAPL-005-B,17,10,990,31.6,5.1,100,900,40.19,100,10,8296.405882352941,10187.7,
20230711-NAPL-005,20230711-NAPL-005-D,26,10,990,52.87,0.87,100,900,98.43,100,10,6511.028461538462,11243.24,
20230711-NAPL-006,20230711-NAPL-006-A,6,10,990,35.45,0.38,1000,0,83.71,100,1,10644.518333333333,10993.31,
20230711-NAPL-006,20230711-NAPL-006-B,2,10,990,43.75,1.27,100,900,26.21,100,10,7747.790000000001,8403.04,
20230711-NAPL-007,20230711-NAPL-007-B,23,10,990,37.34,2.27,100,900,62.21,100,10,8889.779130434783,11865.04,
20230711-NAPL-007,20230711-NAPL-007-C,25,10,990,27.27,1.28,100,900,100.99,100,10,7672.540000000001,12520.060000000001,
20230711-NAPL-008,20230711-NAPL-008-A,12,10,990,22.27,1.84,1000,0,24.91,100,1,5468.059166666667,5582.2300000000005,
20230711-NAPL-009,20230711-NAPL-009-A,11,10,990,16.34,0.77,1000,0,15.55,100,1,4462.608181818182,4533.29,
20230711-NAPL-010,20230711-NAPL-010-A,10,10,990,30.52,0.94,100,900,28.69,100,10,3413.33,4704.38,
20230711-NAPL-010,20230711-NAPL-010-B,21,10,990,28.91,1.75,100,900,18.79,100,10,6152.238095238095,7047,
20230711-NAPL-010,20230711-NAPL-010-D,24,10,990,37.94,2.62,100,900,32.57,100,10,5855.094166666667,7415.74,
20230711-NAPL-011,20230711-NAPL-011-A,5,10,990,40.15,0.86,100,900,12.46,100,10,7714.320000000001,8212.720000000001,
20230711-NAPL-012,20230711-NAPL-012-B,14,10,990,30.08,0.81,100,900,48.95,100,10,8206.441428571428,10479.119999999999,
20230711-NAPL-012,20230711-NAPL-012-D,16,10,990,38.11,3.97,100,900,87.3,100,10,6296.7525,10388.939999999999,
20230711-NAPL-013,20230711-NAPL-013-B,19,100,900,45.98,1.99,100,900,48.15,10,10,892.8905263157895,3173.6800000000003,
20230711-NAPL-013,20230711-NAPL-013-D,36,100,900,63.23,6.76,100,900,61.94,10,10,1019.1477777777777,4030.12,
20230711-NAPL-014,20230711-NAPL-014-A,13,10,990,25.67,1.54,1000,0,87.35,100,1,12682.676153846154,13085.83,
20230711-NAPL-015,20230711-NAPL-015-A,8,10,990,28.32,1.14,100,900,19.22,100,10,5256.405,6097.28,
20230711-NAPL-015,20230711-NAPL-015-B,20,10,990,31.26,2.23,100,900,31.4,100,10,5746.96,7238.46,
20230711-NAPL-015,20230711-NAPL-015-D,14,10,990,30.06,0.91,100,900,29.21,100,10,6358.141428571428,7714.32,
20230711-NAPL-016,20230711-NAPL-016-A,13,10,990,26.23,1.49,1000,0,18.18,100,1,6021.972307692307,6105.879999999999,
20230711-NAPL-017,20230711-NAPL-017-B,11,10,990,27.46,1.4,100,900,11.18,100,10,5299.618181818182,5807.8,
20230711-NAPL-017,20230711-NAPL-017-D,12,10,990,17.62,0.95,100,900,12.67,100,10,5546.691666666667,6127.4,
20230711-NAPL-018,20230711-NAPL-018-A,17,10,990,20.84,1.14,100,900,11.29,100,10,3559.485882352941,4090.78,
20230711-NAPL-018,20230711-NAPL-018-B,11,10,990,26.74,1.24,1000,0,84.28,100,1,4208.78909090909,4591.879999999999,
20230711-NAPL-019,20230711-NAPL-019-A,7,10,990,36.95,1.02,100,900,12.91,100,10,5442.254285714285,5995.54,
20230711-NAPL-019,20230711-NAPL-019-C,5,10,990,37.91,0.96,1000,0,49.67,100,1,7441.590000000001,7640.270000000001,
20230711-NAPL-020,20230711-NAPL-020-A,8,10,990,33.78,0.8,100,900,18.86,100,10,7701.4749999999995,8526.599999999999,
20230711-NAPL-021,20230711-NAPL-021-A,6,10,990,33.88,0.79,100,900,20.59,100,10,6929.163333333333,7787.08,
20230711-NAPL-021,20230711-NAPL-021-B,20,10,990,34.57,1.49,100,900,17.04,100,10,6821.580000000001,7630.9800000000005,
20230711-NAPL-021,20230711-NAPL-021-D,12,10,990,32.74,1.24,100,900,11.21,100,10,6963.188333333333,7476.98,
